Answer to Q1,Answer to Q2,Answer to Q3,Answer to Q4,Answer to Q5,respondant's age,respondant's gender,respondant's occupation
1,10,10,Difference-removing ,Yes,56,Female,life-nurturer
2,7,10,Difference-honoring,Yes,52,Female,house keeping
1,1,10,Difference-denying,Yes,36,Female,Nurse
1,3,8,Difference-denying,No,23,Female,Nail technician
1,7,10,Difference-denying,No,20,Female,Student
1,10,9,Difference-honoring,No,23,Male,Student
10,4,8,Difference-denying,No,21,Female,Bartender
1,7,6,Difference-denying,No,22,Male,Student
1,9,10,Difference-denying,No,21,Male,Server
10,1,2,Difference-denying,Yes,21,Female,Daycare worker
